"",WG1 H16.06.008,WG4 H16.06.009,WG4 H16.06.010,WG1 H17.06.015,Fold Change,Score
LOC105377459,1.25,0.902,0.935,1.84,-0.63,-0.438
TTYH1,2.31,1.57,2.35,4.01,-1.2,-0.437
RPS19,2.68,1.45,2.14,2.39,-0.742,-0.437
VWA5B2,3.3,2.68,3.3,4.97,-1.15,-0.437
FBXO17,2.55,1.77,2.48,3.76,-1.03,-0.436
SERTM1,1.41,0.836,1.07,1.65,-0.58,-0.436
SERPINI1,2.65,2.02,2.45,3.42,-0.802,-0.434
KCNB2,7.26,7.04,6.51,7.84,-0.773,-0.434
CD24,1.49,1.3,0.84,2.3,-0.825,-0.434
PPM1D,3.11,2.54,2.89,3.82,-0.756,-0.432
PYGO1,0.939,0.607,0.647,1.62,-0.653,-0.432
SYT6,1.08,0.61,0.712,1.32,-0.536,-0.432
PTBP3,4.18,3.98,3.51,4.9,-0.796,-0.431
RCOR1,4.79,4.62,4.49,6,-0.839,-0.43
SEC14L1,4.93,4.61,4.36,5.22,-0.591,-0.43
LOC100132004,1.12,0.811,0.304,1.25,-0.625,-0.43
NRGN,6.39,4.88,5.7,5.87,-0.834,-0.43
SIPA1L2,4.02,4.35,2.47,6.01,-1.61,-0.429
LOC105373850,3.2,2.56,2.98,3.86,-0.759,-0.429
ERC2,10.9,10.1,10.5,11,-0.603,-0.429
MBNL2,9.16,8.52,8.75,9.13,-0.508,-0.429
PDK2,1.36,0.88,1.19,2.33,-0.814,-0.429
ATP8A1,8.83,8.35,7.81,8.63,-0.65,-0.428
LOC105378404,1.5,1.16,1.06,1.84,-0.564,-0.428
LOC105370456,1.17,0.197,0.688,0.982,-0.632,-0.427
LOC105378678,0.566,0.139,0.234,0.952,-0.572,-0.427
CTDSPL,6.34,5.76,6.17,7.22,-0.816,-0.427
LOC105378653,0.787,0.566,0.59,1.92,-0.776,-0.427
TNFRSF1A,0.465,0.0854,0.112,0.809,-0.538,-0.427
ANO3,7.97,6.15,7.11,7.19,-0.947,-0.426
TESK2,1.68,1.31,1.46,2.57,-0.739,-0.425
CLYBL,2.92,2.8,2.37,4,-0.879,-0.425
SLC37A1,2.42,1.66,2.42,3.8,-1.07,-0.425
LOC105377097,0.424,0.303,0.166,1.81,-0.881,-0.425
SETD3,5.32,4.76,5.05,5.8,-0.656,-0.424
LOC105369580,3.25,0.512,2.14,1.99,-1.29,-0.424
COL25A1,4.11,5.19,2.49,8.92,-2.68,-0.424
RGS5,1.93,1.6,1.5,2.31,-0.566,-0.423
CFAP54,5.1,4.74,4.53,5.2,-0.516,-0.423
SH3GLB2,2.16,1.27,2.09,3.12,-0.956,-0.423
ZNF519,5,4.74,4.35,5.39,-0.653,-0.422
MPP3,0.972,0.774,0.766,2.08,-0.755,-0.422
LINC01317,4.62,1.76,4.97,5.23,-1.56,-0.422
RGS14,0.958,0.422,0.717,1.56,-0.689,-0.422
TSHR,2.57,1.48,2.37,2.79,-0.751,-0.421
FAAH,2.46,1.74,2.43,3.72,-1,-0.421
STARD3,2.23,1.56,2.09,3.09,-0.834,-0.421
GPR85,3.16,0.79,2.64,2.56,-1.15,-0.421
LOC105371130,2.67,2.14,1.73,2.43,-0.615,-0.42
MIR181A1HG,1.71,1.05,1.49,2.24,-0.707,-0.42
BAIAP2,4.44,4.31,4.4,6.21,-0.972,-0.42
KCND2,9.14,8.62,8.76,9.22,-0.488,-0.42
CDH11,5.23,5.01,5.13,6.71,-0.895,-0.42
LRRC16A,3.76,3.64,3.3,4.89,-0.856,-0.42
SOCS2,0.994,0.403,0.534,0.91,-0.484,-0.42
HUNK,2.97,2.75,3.05,5.1,-1.14,-0.42
ARHGAP44,8.63,8.47,7.73,9.14,-0.789,-0.42
LHFPL2,1.44,0.977,1.25,2.31,-0.76,-0.419
MZT2A,2.56,2.28,2.32,3.41,-0.684,-0.419
CAMK2N1,6.23,4.68,6.16,6.47,-0.93,-0.419
SHMT1,1.11,0.978,0.645,2.17,-0.83,-0.418
FOXP1,7.33,6.7,7.03,7.57,-0.588,-0.418
SHCBP1,1.64,1.32,1.01,1.84,-0.57,-0.417
LOC105375044,2.39,1.55,2.35,3.44,-0.966,-0.417
TYW1B,4.51,4.36,4.21,5.66,-0.798,-0.417
DAW1,2.24,1.98,1.22,2.27,-0.651,-0.417
FAT4,4.59,4.61,4.09,6.2,-1.04,-0.417
C4orf32,1.55,1.34,1.41,2.81,-0.806,-0.417
LOC105375006,0.805,0.328,0.325,0.727,-0.44,-0.416
LRCH1,4.36,4.5,2.65,5.2,-1.21,-0.416
CIPC,3.24,2.49,2.92,3.26,-0.545,-0.415
ELOVL5,2.42,2.11,2.37,3.93,-0.937,-0.415
HRASLS,1.33,1.03,1.09,2.1,-0.659,-0.415
LOC339874,4.3,2.89,4.15,4.32,-0.787,-0.414
GALNT14,4.36,4.62,3.35,6.33,-1.36,-0.414
GRHPR,1.24,0.64,1,1.75,-0.67,-0.414
LOC105375204,1.56,0.578,0.832,1.1,-0.625,-0.414
INSIG2,2.56,1.81,2.36,3.04,-0.717,-0.414
CLSPN,1.39,0.988,1.13,1.97,-0.622,-0.414
LOC102724356,9.17,8.58,7.24,8.6,-0.974,-0.413
LOC105372482,2.43,2.13,2.12,2.94,-0.562,-0.412
IGSF3,0.579,0.114,0.619,2.23,-1.04,-0.411
ZNF516,3.39,2.81,3.32,4.48,-0.873,-0.411
EEF1DP3,1.35,1.19,1.23,2.71,-0.82,-0.411
OBSL1,2.2,1.88,1.94,2.87,-0.624,-0.411
SLA,2.94,1.03,3.34,4.48,-1.53,-0.41
SMARCA2,5.69,5.63,5.12,6.82,-0.886,-0.41
SLC44A1,6.83,5.83,6.6,6.92,-0.657,-0.41
EGR4,0.597,0.26,0.199,0.877,-0.507,-0.409
CAMK4,5.3,5.43,4.16,6.58,-1.15,-0.409
ANKRD45,1.84,1.57,1.5,2.4,-0.589,-0.408
MIPOL1,5.91,5.71,5.27,6.45,-0.687,-0.408
LOC101928005,3.43,2.14,2.78,2.95,-0.731,-0.408
HACE1,5.09,4.39,4.92,5.68,-0.729,-0.407
UST,2.08,2.77,1.39,5.84,-1.88,-0.407
LOC101929163,4.2,3.04,4.78,7.11,-1.74,-0.406
TMEM191B,0.577,0.106,0.0856,0.489,-0.437,-0.406
SNED1,6.99,5.57,7.03,7.62,-1.01,-0.405
RN7SK,1.88,0.809,0.803,1.03,-0.652,-0.405
RASSF8,1.3,1.06,1.12,2.29,-0.705,-0.405
MAP2K6,1.5,1.52,0.988,2.94,-0.968,-0.405
ENOX1,5.05,4.88,5.17,7.22,-1.11,-0.405
VSTM4,1.64,1.6,1.21,2.95,-0.889,-0.404
PTMS,3.53,1.97,3.04,3.13,-0.825,-0.404
ANKRD20A5P,1.26,1.36,1.55,4.3,-1.32,-0.403
ERBB3,0.953,0.553,0.919,2.3,-0.891,-0.403
CNTNAP3B,3.24,3.54,2.98,5.95,-1.34,-0.403
LINC01358,0.724,0.229,0.388,0.873,-0.49,-0.403
LOC150596,2.53,1.02,1.14,1.24,-0.802,-0.402
PCGF5,3.71,3.8,2.74,4.92,-1.05,-0.402
SCART1,2.72,2.52,2.43,3.57,-0.669,-0.402
PEG10,1.22,0.548,1.02,1.69,-0.669,-0.402
LOC101926935,3.06,3.22,2.18,4.61,-1.13,-0.401
NETO2,1.49,1.33,1.38,2.78,-0.779,-0.4
PDGFD,0.968,0.697,0.626,1.49,-0.569,-0.4
LOC283683,1.25,0.611,0.605,0.942,-0.488,-0.4
SLX4IP,3.49,2.73,3.23,3.63,-0.581,-0.4
LOC105377866,8.7,8.37,8.14,8.8,-0.495,-0.399
SUB1,4.87,4,4.36,4.62,-0.572,-0.399
ADAMTSL3,3.52,3.25,2.84,3.7,-0.567,-0.399
CROCCP2,2.7,2.45,2.29,3.21,-0.586,-0.399
SLC26A4,2.82,2.35,2.6,3.39,-0.631,-0.399
NAPEPLD,3.09,2.83,2.66,3.56,-0.58,-0.399
GNA14-AS1,4.68,4.85,1.46,4.46,-1.42,-0.399
JDP2,1.99,2.03,1.24,3.21,-0.964,-0.398
PEA15,2.26,0.93,2.19,2.49,-0.818,-0.398
IGSF1,0.42,0.13,0.212,1.2,-0.64,-0.397
ROBO1,4.74,5.51,3.12,7.67,-1.89,-0.397
B3GALT1,9.81,8.77,9.36,9.57,-0.629,-0.397
HSP90B1,2.19,1.59,1.79,2.13,-0.473,-0.397
CRIP2,2.58,1.58,2.23,2.46,-0.613,-0.396
C17orf67,1.38,0.755,1.23,2.05,-0.718,-0.396
FOS,0.609,0.258,0.213,0.766,-0.453,-0.396
SMAD3,5.58,4.34,5.73,6.66,-1.09,-0.396
PNMA5,0.982,0.327,0.712,1.17,-0.556,-0.396
DTNA,9.61,9.28,9.06,9.69,-0.478,-0.396
LOC100506023,6.87,6.61,6.65,7.61,-0.611,-0.395
TUB,4.91,4.12,4.86,5.75,-0.838,-0.395
CDYL2,3.13,2.95,3.03,4.38,-0.765,-0.394
LOC646241,3.82,3.63,3.78,5.28,-0.841,-0.394
ARL15,8.15,7.92,7.79,8.75,-0.597,-0.393
SNAPC1,1.6,1.35,1.25,2.11,-0.562,-0.393
BBS2,4.47,3.87,4.27,4.94,-0.635,-0.393
KNOP1,1.46,0.836,1.24,1.84,-0.613,-0.393
TEX15,0.595,0.406,0.352,1.46,-0.649,-0.393
ATP6AP1L,3.16,2.26,2.88,3.13,-0.573,-0.393
SEPSECS-AS1,1.58,0.541,1.65,2.56,-0.975,-0.393
LOC100506274,0.868,0.508,0.461,0.968,-0.434,-0.393
SAMD5,1.19,0.995,0.894,1.99,-0.644,-0.392
LOC105378870,1.11,0.225,0.987,1.55,-0.726,-0.392
LOC105371499,0.73,0.328,0.398,0.931,-0.467,-0.392
TRIM17,1.72,0.939,1.52,2.01,-0.634,-0.392
KCNA3,2.8,2.63,2.64,3.84,-0.684,-0.391
CMTM4,4.85,4.54,4.82,6.2,-0.844,-0.391
ADAM17,4.57,4.26,4.09,4.74,-0.486,-0.391
LOC105373275,1.5,0.959,1.13,1.48,-0.444,-0.391
EHBP1,8.87,8.48,8.55,9.12,-0.481,-0.391
ZBED3-AS1,2.58,1.54,2.21,2.42,-0.619,-0.39
ADCY8,1.11,0.905,0.869,1.91,-0.623,-0.39
LOC105370835,2.14,1.16,1.62,1.84,-0.6,-0.39
LEPR,2.93,3.32,1.64,4.72,-1.34,-0.389
RPN2,3.99,3.21,4.09,5.28,-0.986,-0.389
MGAT5B,2.26,1.61,2.67,4.75,-1.37,-0.389
ELK1,2.22,1.41,2.03,2.48,-0.632,-0.389
SLC6A8,1.15,0.911,0.909,1.8,-0.568,-0.389
DPYSL5,1.95,0.755,2.2,3.33,-1.17,-0.388
ATP2B2,6.54,5.91,6.51,7.51,-0.818,-0.388
C1QTNF9,0.285,0.289,0.185,1.92,-0.864,-0.388
LOC105378830,1.39,0.701,1.09,1.39,-0.496,-0.388
HSF4,1.95,0.776,1.84,2.08,-0.711,-0.387
DSCAML1,5.24,5.76,4.33,7.82,-1.48,-0.386
CAMKV,3.77,3.73,3.61,5.15,-0.795,-0.386
LOC101927653,2.66,1.75,1.32,1.85,-0.72,-0.386
CPO,3.49,3.23,3.32,4.37,-0.65,-0.385
OPN4,1.23,0.407,0.956,1.21,-0.539,-0.385
CNTNAP3P2,1.2,1.23,0.68,2.48,-0.883,-0.385
ANKRD30BL,8.79,8.34,8.59,9.33,-0.597,-0.383
ZNF781,2.53,2.1,2.33,3.12,-0.605,-0.383
UNC5D,8.22,6.55,8.36,8.68,-0.997,-0.383
IL12RB2,1.56,1.02,1.29,1.77,-0.514,-0.383
ACRC,1.58,1.05,1.62,2.84,-0.878,-0.383
TNNT2,3.46,3.28,3.21,4.29,-0.63,-0.383
HDAC9,7.64,7.32,6.85,7.58,-0.525,-0.383
CDH9,9.07,7.72,8.55,8.65,-0.722,-0.382
MUC20,0.967,0.873,0.629,1.98,-0.721,-0.382
ZMAT4,8.15,7.58,8.06,8.96,-0.731,-0.382
PIGT,1.13,0.572,0.842,1.26,-0.489,-0.382
DNAH9,6.74,6.72,5.84,7.42,-0.802,-0.382
LOC101927376,0.816,0.541,0.68,1.74,-0.668,-0.381
LOC105374872,0.622,0.398,0.46,1.51,-0.635,-0.381
LOC105373192,1.78,1.09,1.6,2.11,-0.601,-0.379
MT3,2.89,0.915,1.38,1.28,-0.934,-0.379
MYO5B,4.73,3.14,5.34,6.77,-1.51,-0.378
GRAMD1C,1.04,0.739,0.765,1.46,-0.495,-0.377
ADGRA2,1.66,1.21,1.7,2.95,-0.853,-0.377
RTP5,0.786,0.391,0.44,0.868,-0.411,-0.376
MDH1B,1.15,0.657,1.02,1.81,-0.647,-0.376
LOC105375633,2.12,1.2,1.54,1.75,-0.565,-0.376
TRABD2A,1.35,0.496,0.712,0.943,-0.541,-0.376
MARCH4,3.43,3.26,3.52,5.16,-0.9,-0.374
PM20D2,4.58,4.14,4.31,4.87,-0.495,-0.373
LOC730268,3.19,1.66,3.49,4.22,-1.13,-0.373
ZBTB20,11.3,11.2,10.1,11.4,-0.678,-0.373
COBL,4.02,2.73,4.29,5.17,-1.09,-0.372
COL19A1,8.26,7.75,6.76,7.78,-0.76,-0.372
SKAP1,0.99,0.925,0.726,2.09,-0.713,-0.372
LOC101928635,4.16,2.57,4.49,5.19,-1.15,-0.371
CAMKK2,1.45,1.59,1.64,3.72,-0.978,-0.37
LRTM1,3.24,2.61,2.08,2.74,-0.639,-0.37
DLEU7,3.08,2.85,2.91,3.87,-0.593,-0.37
SLC8A2,5.27,5.01,5.37,6.9,-0.892,-0.37
SPATA13,7.06,6.78,6.63,7.28,-0.466,-0.369
SEMA4F,4.92,4.51,4.89,5.96,-0.738,-0.368
MB21D2,2.39,2.4,2.43,4.06,-0.81,-0.367
LOC105375914,0.609,0.299,0.279,0.826,-0.429,-0.367
CPLX2,4.96,3.24,5.28,5.75,-1.1,-0.366
LOC100129434,0.443,0.113,0.188,0.828,-0.485,-0.366
LOC101927073,0.885,0.194,0.463,0.726,-0.477,-0.366
LOC105379011,1.6,1.02,1.17,1.47,-0.439,-0.365
MYRIP,7.71,7.62,7.18,8.42,-0.661,-0.365
RHBDD2,2.35,1.27,2.2,2.33,-0.607,-0.365
GSG1L,5.57,2.97,6.46,7.29,-1.71,-0.365
MRPS6,2.05,1.88,1.93,2.99,-0.617,-0.365
ADCK3,1.32,1.12,1.26,2.43,-0.687,-0.364
FAM117A,3.4,2.33,3.72,4.84,-1.09,-0.364
TRERF1,3.15,3.34,3.2,5.28,-0.949,-0.364
CNGA3,0.361,0.181,0.118,1.05,-0.557,-0.364
SCG3,3.43,3.15,2.63,3.37,-0.513,-0.362
NDUFA13,2.6,1.75,1.64,1.92,-0.563,-0.362
RBP1,0.969,0.352,0.313,0.619,-0.462,-0.362
OLFM1,6.31,4.43,6.5,6.53,-0.949,-0.362
WIF1,0.523,0.211,0.328,1.09,-0.538,-0.362
LINC00173,1.35,0.771,1.12,1.53,-0.497,-0.362
ZFP37,1.36,0.653,1.18,1.58,-0.553,-0.362
LOC105374618,1.66,1.36,1.64,2.79,-0.722,-0.361
DNAH8,0.824,0.523,0.608,1.33,-0.511,-0.361
TMA16,1.44,1.15,1.09,1.67,-0.434,-0.361
FAM214A,5.13,5.04,4.44,5.64,-0.643,-0.361
MXD4,1.93,1.61,1.72,2.45,-0.522,-0.361
FOXO6,0.492,0.144,0.343,1.16,-0.581,-0.36
LOC105370836,1.73,0.965,1.31,1.54,-0.496,-0.36
CDK9,2.63,2.9,2,4.3,-1.01,-0.36
KIRREL3,9.67,9.11,9.57,10.3,-0.634,-0.36
SPATC1L,1.42,0.664,1.13,1.36,-0.495,-0.36
LOC105373872,2.18,0.958,1.33,1.41,-0.65,-0.36
VPS37C,2.7,1.7,2.62,2.91,-0.648,-0.359
AKT2,3.25,3.12,3.23,4.49,-0.701,-0.359
COL5A2,1.12,1.1,1.04,2.42,-0.702,-0.358
CACNA2D4,0.897,0.367,0.63,1,-0.452,-0.358
RASSF8-AS1,1.28,0.727,0.783,1.08,-0.424,-0.358
JAM2,1.18,0.603,0.958,1.39,-0.501,-0.358
EDIL3,10.3,10,9.65,10.3,-0.458,-0.358
POLE,1.66,1.69,1.09,2.63,-0.755,-0.358
BRI3,2.07,1.28,1.74,1.95,-0.503,-0.358
KCNK13,0.672,0.662,0.314,1.73,-0.712,-0.358
NBPF8,1.62,1.58,1.05,2.39,-0.687,-0.357
LOC105369617,0.813,0.528,0.383,0.961,-0.431,-0.357
VCAN,1.7,2.03,0.796,3.23,-1.05,-0.357
LOC652276,3.33,2.7,2.88,3.15,-0.45,-0.357
SCNN1G,0.513,0.278,0.0904,0.818,-0.481,-0.357
WBP2NL,2.01,1.44,1.81,2.3,-0.524,-0.357
RUNX1T1,3.9,3.13,3.93,4.67,-0.753,-0.357
CEP128,4.29,4.02,3.86,4.47,-0.439,-0.356
SLC35F4,3.23,3.35,3.5,5.6,-0.993,-0.356
DIAPH3,1.49,1.21,0.998,1.58,-0.431,-0.356
PBX1,8.46,8.19,8.27,9.04,-0.522,-0.356
FGF12,8.59,8.23,8.46,9.25,-0.58,-0.356
LOC105374838,3.09,2.55,2.64,2.94,-0.417,-0.356
LRCH2,2.74,2.61,2.61,3.65,-0.585,-0.355
SLC13A3,4.38,4.24,4.29,5.41,-0.63,-0.355
PTCHD2,3.11,2.01,3.63,5.02,-1.24,-0.355
TMPO,1.59,1.26,1.43,2.2,-0.549,-0.355
ACKR2,0.671,0.354,0.371,0.873,-0.409,-0.354
LMNTD1,1.13,0.902,0.939,1.75,-0.519,-0.353
P4HTM,4.09,3.39,4.11,4.87,-0.727,-0.353
CDON,4.39,4.43,3.84,5.36,-0.744,-0.353
PDZD4,1.68,1.47,1.6,2.64,-0.623,-0.353
ACTN2,3.23,2.97,3.17,4.2,-0.644,-0.353
PNRC1,1.74,0.725,1.48,1.61,-0.573,-0.352
GULP1,0.358,0.227,0.354,1.62,-0.697,-0.352
LPPR2,3.24,2.42,3.24,3.84,-0.704,-0.352
ERICH2,1.13,0.768,0.845,1.3,-0.413,-0.352
COLEC11,0.221,0.209,0.21,1.57,-0.687,-0.351
CPSF6,6.08,5.6,5.73,6.03,-0.395,-0.351
LOC105379161,0.721,0.142,0.179,0.454,-0.426,-0.351
PDE2A,4.01,2.46,4.78,6.13,-1.45,-0.351
USP28,3.41,2.96,3.45,4.49,-0.741,-0.35
CAB39L,3.04,2.66,3.06,4.08,-0.707,-0.35
SLC22A1,1,0.643,0.76,1.32,-0.457,-0.35
LRRC37A3,5.69,5.41,5.55,6.39,-0.556,-0.35
PALMD,2.14,0.667,1.8,1.77,-0.722,-0.35
ZNF502,0.712,0.444,0.423,1.01,-0.429,-0.349
IGSF21,2.77,1.65,3.21,4.33,-1.12,-0.349
AMER2,2.23,1.7,2.2,2.99,-0.659,-0.349
PCDH17,2.83,2.97,2.23,4.01,-0.823,-0.349
LOC100287290,4.2,2.95,4.15,4.19,-0.648,-0.349
ZHX2,4.95,5.48,3.57,6.51,-1.2,-0.348
ZMAT1,3.45,3.13,3.24,3.9,-0.489,-0.348
PTN,0.999,0.567,0.522,0.872,-0.391,-0.348
SPATA31C1,6.36,0.399,3.55,1.99,-2.2,-0.348
LOC105372753,0.834,0.606,0.764,1.77,-0.617,-0.348
GPR162,2.64,2.12,2.76,3.85,-0.801,-0.348
LDB3,1.32,0.982,0.996,1.4,-0.371,-0.348
DDR1,0.911,0.679,0.777,1.65,-0.552,-0.347
MURC,1.23,0.932,0.999,1.61,-0.457,-0.347
CECR2,4.74,5.21,3.3,6.06,-1.14,-0.347
LAMC1,4.42,3.94,4.38,5.19,-0.644,-0.347
SLC35F2,1.17,1.23,0.616,2.17,-0.743,-0.346
EGR3,0.88,0.337,0.768,1.37,-0.571,-0.346
ANKRD19P,3.14,2.88,3.06,4.01,-0.605,-0.346
TMEM132E,0.657,0.467,0.665,1.84,-0.685,-0.346
SRSF5,4.23,3.97,3.96,4.54,-0.424,-0.346
LINC01121,1.15,0.898,0.558,1.18,-0.436,-0.346
ADIPOR2,3.67,3.49,3.58,4.59,-0.591,-0.346
RASGEF1C,1.27,1.37,1.06,2.71,-0.771,-0.346
DPY19L4,1.62,1.62,1.32,2.66,-0.67,-0.345
SNTG2,2.47,2.55,0.995,2.58,-0.751,-0.345
KLKB1,0.915,0.642,0.648,1.21,-0.419,-0.345
RMDN2-AS1,2.26,1.35,1.27,1.48,-0.554,-0.345
LINC00877,1.17,0.807,1.1,1.94,-0.603,-0.344
TCEB2,2.07,0.914,1.24,1.31,-0.61,-0.344
PSRC1,2.74,2.32,1.91,2.5,-0.505,-0.344
FSIP1,3.3,3.16,2.78,3.72,-0.541,-0.344
FOSB,0.429,0.151,0.121,0.65,-0.404,-0.343
RABL2A,4,3.88,3.48,4.48,-0.556,-0.342
PPFIA2,11.6,11.1,11,11.4,-0.408,-0.342
CRYBG3,1.78,1.57,1.12,1.83,-0.462,-0.342
SNTG1,9.71,9.84,8.7,10.4,-0.787,-0.342
LOC105374250,0.584,0.375,0.362,1.09,-0.467,-0.342
KIAA1211,3.05,3.6,2.13,5.04,-1.18,-0.342
HPCAL4,2.5,1.34,2.62,3,-0.773,-0.341
GNPNAT1,1.66,1.29,1.18,1.58,-0.385,-0.341
CENPC,4.64,3.92,3.61,4.02,-0.566,-0.341
LOC105377360,0.999,1.09,0.485,2.05,-0.738,-0.34
DACT1,0.391,0.0632,0.181,0.774,-0.46,-0.34
CHGB,5.17,5.15,4.55,5.79,-0.633,-0.34
LOC101926966,0.961,0.311,0.793,1.14,-0.497,-0.339
LOC101927711,0.729,0.514,0.516,1.21,-0.455,-0.339
LINC01115,0.318,0.159,0.0874,0.936,-0.504,-0.339
SYN3,7.81,6.9,7.91,8.5,-0.748,-0.339
SMA5,0.943,0.835,0.592,1.58,-0.549,-0.338
TAMM41,4.47,4.54,4.18,5.65,-0.705,-0.338
PSD3,7.49,6.53,7.47,7.75,-0.624,-0.338
RHOBTB3,4.86,4.18,3.61,4.19,-0.634,-0.338
COL2A1,0.673,0.312,0.2,0.602,-0.382,-0.338
PBX3,1.43,1.09,0.803,1.32,-0.431,-0.337
TRPC5,4.17,4.69,2.72,5.46,-1.11,-0.337
IGFBP5,2.14,0.604,2.43,2.71,-0.907,-0.337
RYBP,4.38,4.09,4.31,5.18,-0.578,-0.337
ADAM32,2.52,2.45,2.17,3.27,-0.581,-0.337
MREG,3.03,2.86,2.68,3.51,-0.495,-0.336
LOC102723739,0.917,0.0921,0.205,0.367,-0.494,-0.336
ABTB1,1.57,1.17,1.53,2.34,-0.605,-0.336
LOC105370206,1.37,1.05,1.01,1.39,-0.35,-0.336
ZNF624,1.4,0.82,1.05,1.3,-0.415,-0.336
KIAA1958,4.05,4.63,3.22,6.1,-1.15,-0.335
NECAB1,7.87,6.84,5.55,6.47,-0.973,-0.335
LOC105374664,4.43,3.58,2.85,3.48,-0.731,-0.334
CAB39,5.16,4.71,5.09,5.79,-0.571,-0.334
CDH10,6.24,5.42,5.92,6.08,-0.492,-0.334
LOC105379102,1.06,0.256,0.284,0.45,-0.485,-0.334
LOC105374164,1.19,0.651,0.541,0.872,-0.435,-0.334
LOC105374509,1.08,0.883,0.81,1.52,-0.455,-0.334
MMP17,4.24,4.34,4.27,5.8,-0.717,-0.334
LINC00970,3.77,2.87,3.7,3.95,-0.57,-0.333
FAM19A2,9.74,9.68,9.04,10.2,-0.582,-0.333
DSTYK,3.99,3.69,4.04,5.11,-0.68,-0.333
TNFRSF25,4.19,4.23,3.55,4.92,-0.665,-0.333
MGST1,0.805,0.467,0.388,0.769,-0.36,-0.333
SLC24A2,9.01,8.78,8.48,9.11,-0.426,-0.332
CADPS2,1.18,1.27,0.908,2.43,-0.713,-0.332
LOC101928020,2.66,2.42,2.16,2.75,-0.415,-0.332
ADCY2,4.97,3.07,5.51,5.84,-1.11,-0.332
LENG8,5.55,5.35,5.22,5.91,-0.446,-0.332
EMC10,1.3,1.25,0.958,2.07,-0.581,-0.332
ZMIZ2,2.78,2.52,2.77,3.73,-0.613,-0.332
GLIS1,2.57,2.97,2.37,4.74,-0.983,-0.332
ECT2L,3.71,1.72,2.41,2.13,-0.863,-0.331
TXNRD1,4.39,3.2,4.34,4.36,-0.603,-0.331
ITGA9-AS1,4.01,3.32,3.97,4.44,-0.584,-0.331
MYOM2,2.54,1.42,1.85,1.89,-0.582,-0.33
CIC,1.39,0.953,1.34,2.06,-0.579,-0.33
ZDHHC19,0.909,1.05,0.529,2.17,-0.747,-0.33
TMEM198,0.945,0.524,0.603,0.9,-0.359,-0.33
TMEM35,1.85,1.4,1.71,2.26,-0.498,-0.33
GAP43,4.95,2.95,5.5,5.7,-1.1,-0.33
ANKDD1B,3.12,2,2.36,2.4,-0.581,-0.33
APMAP,3.08,2.22,3.25,3.92,-0.763,-0.33
ZDHHC11,0.6,1.11,1.15,3.86,-1.1,-0.329
APC2,2.1,2.17,2.3,3.95,-0.788,-0.329
SNTA1,1.95,2.04,1.94,3.43,-0.696,-0.329
C17orf51,4.22,3.73,4.31,5.2,-0.69,-0.328
LYSMD2,2.17,1.71,1.56,1.94,-0.417,-0.328
AGFG2,2.64,2.41,2.87,4.25,-0.806,-0.328
C6orf106,3.39,3.28,3.43,4.6,-0.643,-0.327
SYS1-DBNDD2,1.64,1.41,1.49,2.21,-0.478,-0.327
CDK5RAP3,1.71,1.71,1.41,2.64,-0.611,-0.326
HGF,2.28,1.02,1.45,1.44,-0.619,-0.326
SMAD1,2.91,2.5,2.84,3.53,-0.549,-0.326
RNR2,4.71,1.85,4.06,3.46,-1.12,-0.326
CASP6,0.928,0.627,0.803,1.5,-0.496,-0.326
TAPT1,2.97,2.64,2.99,3.9,-0.619,-0.325
TMC2,2.54,2.73,1.8,3.51,-0.761,-0.325
LOC440600,1.49,0.997,0.953,1.24,-0.393,-0.325
CPVL,1.14,0.419,0.812,0.99,-0.449,-0.324
KHSRP,1.86,1.68,1.91,3.02,-0.642,-0.324
SLCO3A1,7.7,7.57,7.16,8,-0.488,-0.324
TEKT4P2,4.46,1.83,5.67,6.26,-1.62,-0.324
LUZP2,1.62,1.33,1.59,2.44,-0.57,-0.324
POLR3B,3.2,2.62,2.97,3.21,-0.407,-0.323
C4orf50,1.84,1.31,2.08,3.13,-0.795,-0.323
TRIM69,1.38,1.11,1.28,2.03,-0.512,-0.323
REV1,5.42,5.3,5.08,5.94,-0.491,-0.323
LOC105371593,1.3,1.15,1.42,2.66,-0.697,-0.323
LRP2BP,3.72,3.52,3.41,4.07,-0.43,-0.322
TPPP,2.04,1.91,2.32,3.83,-0.825,-0.322
DCP2,2.17,1.84,2.01,2.58,-0.451,-0.322
UBAP1,3.81,3.76,3.76,4.82,-0.551,-0.321
LYPD1,0.637,0.167,0.385,0.672,-0.379,-0.321
ERF,0.973,0.73,0.845,1.57,-0.482,-0.321
RASGRP1,6.15,4.53,6.6,6.89,-0.959,-0.321
BASP1,7.21,6.78,6.96,7.3,-0.386,-0.321
LOC105369325,1.04,0.504,0.72,0.958,-0.389,-0.32
EIF3E,3.69,3.21,3.39,3.65,-0.372,-0.32
TG,2.18,0.91,2.2,2.16,-0.617,-0.32
USP3,3.11,2.99,2.73,3.59,-0.486,-0.319
OPHN1,6.04,5.9,5.96,6.84,-0.512,-0.319
NTM,8.56,8.72,8.77,10.4,-0.756,-0.319
ARHGEF33,1.91,1.53,1.73,2.21,-0.43,-0.319
PLEKHA2,6.85,6.51,6.47,6.8,-0.337,-0.319
FAM185A,6.11,5.98,5.61,6.41,-0.47,-0.318
ACAP3,4.59,4.68,4.83,6.47,-0.777,-0.318
DUSP16,1.95,1.99,1.77,3.04,-0.613,-0.318
